embed_model,acc_mlp,acc_svc,acc_lr
All_Mini_L6,0.7136563876651982,0.7092511013215859,0.7092511013215859
All_Mini_L12,0.6872246696035242,0.6607929515418502,0.6784140969162996
MPNet,0.7180616740088106,0.7400881057268722,0.7312775330396476
E5,0.6916299559471366,0.7136563876651982,0.7224669603524229
Qwen_4B,0.7444933920704846,0.7577092511013216,0.7533039647577092
BERT_Tiny,0.6387665198237885,0.6784140969162996,0.6740088105726872
BERT_Mini,0.6431718061674009,0.6740088105726872,0.6651982378854625
BERT_Medium,0.7136563876651982,0.7004405286343612,0.6784140969162996
BERT_Base,0.6960352422907489,0.7312775330396476,0.7312775330396476
